id,title,youtube_link
0,astronomy,https://www.youtube.com/embed/YZfRhL37hig
1,white_dwarf,https://www.youtube.com/embed/L48Jr4Cp594
2,chimp,https://www.youtube.com/embed/i-OaYYNdoQ8
3,crypto,https://www.youtube.com/embed/cHzkLgpzHUc
4,crypto_tax,https://www.youtube.com/embed/674-2Iv82W8
5,crypto_means,https://www.youtube.com/embed/tSSApsy7cpw
6,digital_token,https://www.youtube.com/embed/lVrtPgymV7o
7,cryptocurrency,https://www.youtube.com/embed/L1EV6vAmlSA
8,dodo,https://www.youtube.com/embed/g95U4yqgsTo
9,dolphin,https://www.youtube.com/embed/2RcOtO11_oc
10,elephant,https://www.youtube.com/embed/I0N67_nnaGA
11,fd_mutual_finance,https://www.youtube.com/embed/mIF3El7bNNI
12,finance,https://www.youtube.com/embed/dkzY4ByHtGw
13,jeffrey_archer,https://www.youtube.com/embed/b9zWaLVxu4w
14,mammoth,https://www.youtube.com/embed/OkamQXbt29s
15,murakami,https://www.youtube.com/embed/b5pRgppo36k
16,mutual_funds,https://www.youtube.com/embed/C72HtajNliY
17,paulo_coelho,https://www.youtube.com/embed/uI3yTq4vcIY
18,penguin,https://www.youtube.com/embed/TWCJd2nRVHQ
19,animal_farm,https://www.youtube.com/embed/R9aU54OW8tU
20,shakespeare,https://www.youtube.com/embed/fkj0WrWZHnY
21,snow_bunting,https://www.youtube.com/embed/73pXOMWY6rk
22,super_nova,https://www.youtube.com/embed/isC2Nxg0m6w
23,vaccine_news,https://www.youtube.com/embed/yUI_Y8fRVb4
24,whale,https://www.youtube.com/embed/WpYuZV2f34I