id,title,Transcript,vs_pos,vs_neg,vs_neu,vs_compound
0,astronomy,astronomy literally mean science study law star natural science study celestial object phenomena use mathematic physics chemistry order explain origin evolution object interest include planet moon stars nebula galaxie comment relevant phenomenon include supernova explosion gamma ray burst quay blazer pillars cosmic microwave background radiation generally astronomy study everything originate beyond earth atmosphere cosmology branch astronomy studies universe whole renaissance nicolas copernicus propose heliocentric model solar system work defend galileo galileo expand upon johannes helper helper first devise system correctly describe detail motion plan minute surround sun however helper not succeed formulate theory behind law write one old field astronomy science measurement position celestial object historically accurate knowledge position sun moon planet star essential celestial navigation use celestial object guide navigation make calendars theorist astronomy endeavor create theoretical model result predict observational consequence model observation phenomenon predict model allow astronomer see select several alternate conflict model one good able describe phenomenon origin stellar mass spectrum astronomer observe distribution stellar mass initial mass function apparently regardless initial condition deep understanding formation star planet need amateur astronomer continue make scientific contribution field astronomy one scientific discipline amateur still make significant contribution,0.115,0.024,0.861,0.941
1,white dwarf,white dwarf also call degenerate dwarf stellar core remnant compose mostly electron degenerate matter white dwarf dense mass comparable sun volume comparable earth white dwarf faint luminosity come emission residual third mold energy fusion take place white dwarf nearest know white dwarf siris eight point six light year small component serious binary star currently think eight white dwarf among hundred star system near sun unusual fitness white dwarf first recognize nineteen ten name white dwarf coin william law titan nineteen twenty two white dwarf think final evolutionary state star whose mass not high enough become neutron star black hole include ninety seven percent star milky way usually white dwarf compose carbon oxygen seal white dwarf mass progenitor eight ten point five solar masse sama core temperature sufficient fuse carbon not neon case knox edge neon magnesium white dwarf may form star low mass unable fuse helium hence helium white dwarf material white dwarf long undergo fusion reaction star source energy result can not support heat generate fusion gravitational collapse app support electron degenerate pressure cause extremely dance physics degenerate yield maximum mass non rotate white dwarf chorus acre limit approximately one point four four time beyond can not supported electron degenerate pressure white dwarf hot form source energy gradually cool radiate energy away mean radiation initially high color temperature last render time long time white dwarf cool material begin crystalline start core star low temperature mean longer amid significant heat light become cold black dwarf,0.078,0.065,0.857,0.3356
2,chimp,chimpanzee great ape find across central west africa along bonobos close live relative share ninety eight point seven percent genetic blueprint human champ also think share common ancestor live seven thirteen million year ago behavior chimpanzee highly social live community several dozen animal lead alpha male coalition male ally research show male female champ individual personality female trust timid groom e important part social life help chimpanzee bond remove tick dirt one another body although normally walk four knuckle walking chimpanzee stand walk upright chimpanzee long arm hand finger help climb tree swing branch branch dual use intelligent animal one specie know use tool chimpanzee shape use stick retrieve insect nest dig grabs log use stone smash open tasty nut employ leave sponge sock drinking water chimpanzee even teach use basic human sign language habitat diet chimpanzee wide range great ape though many population live tropical rainforest also find woodland grassland span thing central western africa usually sleep tree typically sturdy uganda ironwood tree offer firm stable place sleep build nest leave champ also eat tree though generally prefer fruit plant varied diet also include insect egg nut hundred thing relist neat know kill eat monkey small antelope even tortoise slam tree break open shell reproduction female chimpanzee give birth time year typically single infant cle mother fur later ride back time meaning age three five female reach reproductive age thirteen male not consider adult fifteen,0.164,0.052,0.784,0.9831
3,crypto,top four crypto exchange india buy two poker cheap crypto exchange apart gold crypto get major popularity among new generation term return offer cryptocurrency engineer investor first nee create online storage open crypto like bitcoin work third party along train crypto exchange exchange investor create exchange account via exchange service county need link investor bank account bank crypto via exchange one safe easy process however read security measure carefully important invest portfolio top represent exchange list select know go know go popular change country one old cryptocurrency exchange first current bitcoin space india start dunkirk outcome later shift operation bang hulu establish two thousand thirteen name keep bad not common western option camera investor high risk appetite could step exchange around one point four seven million register investor not go fix particular date time sell certain amount crypto know coin counter trade enable user trade bulk exchange also launch mobile app user friendly current yet consider one top crypto exchange india dump sex register user four million access two hundred cryptocurrencie like bitcoin ethereal ripple light coin many bitcoin illegal lily use starter launch two thousand eighteen casually mister start show interesting condition trade fee low compare exchange additionally investor get deposit withdrawal mrs free cost helpful option investor india trade directly indian rupees crypto exchange get reward alert list unicorn india two thousand twenty one track exam pay simple user friendly crypto exchange along security feature resemble outgoing transaction single click repay also give offer new investor register get trapeze hundred flashback first year five hundred offer generally attract new investor come field accord pay two third indians buy first bitcoin one popular crypto jp exchange bet experience since two thousand fourteen facilitate ten billion dollar worth transaction time visitor edict certainly unusual platform upgrade cryptocurrency name blue alex exchange inform maximum one billion block coin ever create investor buy wr in exchange available cryptocurrencie huge fail across platform web android ios play windows mac apps significantly security important profit globally discourage process complete within hour sign safely ensure right coverage protocol peer peer transaction edict zero fee deposit x p two service help restrict openwork money reply instantly ex act escort safekeepe transaction,0.225,0.065,0.71,0.9955
4,crypto_tax,india recently introduce crypto tax budget two thousand twenty two co product bring clarity not everyone happy expert believe thirty percent slab go increase tax burden cryptocurrency investor shell third return towards taxis cryptogram see marketplace call government propose taxation digital asset strong move towards recognize cryptocurrency emerge asset class however not player happy move note thirty percent slab high finance minister normal sitharaman tuesday introduce taxation virtual digital asset include cryptocurrencie non tangible token well government also introduce central bank digital currency popularly know city cbd see power blockchain technology two thousand twenty two twenty three big development today clarity crypto taxation add much need recognition crypto system india also development remove ambiguity bank provide financial service crypto industry overall good news -PRON- need go detail version budget understand fine detail mr pretty founder ceo undo dn cryptocurrency exchange visitor say welcome taxation move submit gupta co founder ceo hindi excel statement bring much need confidence industry add taxation virtual digital asset crypto step right direction encourage see government take positive step towards regulate digital asset change lot misconception around crypto asset pave way forward classify separate asset class kevin thomas co founder sac cone also note statement investor pay thirty percent tax return make trading investing cryptocurrencie digital asset the loss transfer virtual digital asset can not set income accord announcement government also propose provide tds payment make relation transfer virtual digital asset rate one percent concentration monetary threshold gift virtual asset also propose pose tax hand recipient first step towards legitimate legitimize digital asset market allow indian talent compete global counterpart high taxation counterproductive long run temporary measure contain unorganized trade transfer cryptocurrencie say heed ceo co founder easy fi network expert believe thirty percent lab go increase tax burden cryptocurrency investor shell third return towards taxis smooth would force people move traditional mode investment stock mutual fund not subject high thirty percent dex shear chandra crypto tell expert also point tedious rate make investment even care crypto trader multiple thing income tax thirty percent india still acceptable one person tds make tricky intraday trader india not see know coin cryptocurrency exchange tool indian express dot com yeah enter trading refer buy sell cryptocurrency day gilbert l cofounder chairman guardian link beyond live dog club nft platform also express disappointment humanity also go virtual asset lump one moment place component budget initially space get major roadblock investor community like good ecosystem show well understand regulation control element crypto require nested class taxation eventually adjust go develop ecosystem worldwide still classify non taxable asset imperative adjustment understanding crypto token different digital ft take consideration future amendment cc say,0.21,0.039,0.751,0.9976
5,crypto_means,crypto one big pond change mind doubt sell wish joking brand joke ample warning ignore crypto not real nothing back physical product know ice insurance company like microsoft google hardly trade regulation literary value give cryptocurrency price people willing pay mean hope buyer someone buy bag high price explain pond scheme cryptocurrency worth hold onto point dodge coin even start get skeptical thought let talk big useless pond scheme go crash burn ninety nine ninety nine percent reading get crypto nine year clearly joke sorry not say say recent fifty one mainstream medium article video call bitcoin joking point want see guy get know understand understand crypto must pyramid scheme also hear two plus two equal five bitcoin not go anywhere neither ethidium anyway bear market bring serious question interest one cryptocurrency create within two thousand eight financial crisis one credit great say answer question lie perpetuate crypto market right cryptocurrency wale investor among -PRON- ordinarily money control crypto not forget politic couple big play throw towel entire portfolio worth less pocket length,0.201,0.111,0.688,0.9439
6,digital_token,token next word pawnshop lieu small change next time visit imagine digitally cryptocurrency big difference owner issuer would institute accept global cryptocurrency digital virtual go go epigraphy make next impossible counterfeit minister design use medium exchange buy good service cryptocurrencie decentralize mean authority regulate build blockchain network technology ensure transparency help track every transaction currency theoretically immune government interference kind manipulation cryptocurrency not underlie econ comic base vr information tool plus digital structure facilitate cerebral portability across geographical border visibility transparency however often criticize possibility misuse illegal activity exchanger volatility one credibility often infrastructure underlie cryptocurrencie work progressive work use technology call blockchain token use form payment exchange online good service carry upgrade mine store value like fiat currency like us dollar indian rupee pregnancy digitally mine sophisticated computer solve complex computational mathematic mathematic problem mining pain take costly sporadically rewarding,0.212,0.091,0.697,0.9584
7,cryptocurrency,run cryptocurrency price last december also dignify divergence garden accord new research report bitwise asset management difference return top bottom perform coin drag bit vice index rise seventy four point nine percent december average price difference top bottom perform coin entire year three hundred percent wage report page case diversification within crypto investing drag price top ten readable cryptocurrencie year start march twenty seventeen period three coin repulse could grow bernie rp counterpart stellar xml chinese coin neal provide maximum return investor together responsible next bangladesh choose nine twelve month drag broadway release resurrection clear signal grader inherent volatility cryptocurrency meat market make impossible rely signal example except pea do street eighty percent may twenty seventeen quickly slide negative thirty six point one percent july cryptocurrency space time period fall one fall forty cent pos new level fifteen cent august bitcoin return live hype despite pain despite penchant generating headline due express volatility bitcoin top list maximum return july even provide early return compare point forty fifteen two percent mature assert would expect bitcoin low end return say matt hogan vice president research development bitwise accord reason behind poland new success hide synthetic due combination news development clever marketing partnership coin still report state massive variability return top ten cryptocurrencie consistency relation top coin one month lead mean cop range month follow report whose main thrust argument diversification cryptocurrency investment state accord adviser martaban two reason dispersion return among crippled first one inherent volatility cryptocurrencie compare stock bond second reason accord market understanding present surpasse average investor difference centrally control two percent like ripple truly distribute crypto asset like bitcoin immense hogan say market realize return reflect recent time also report bitcoin correlation cryptocurrencie specifically bloomberg report bitcoin price correlation go cryptocurrency market crash decline researched adviser report reach different conclusion view politically light analysis coalition strongly support idea return individual coin heterogeneous report state,0.139,0.062,0.799,0.9694
8,dodo,todo extinct flightless bird endemic island vicious east madagascar indian ocean close live relative todo nicolas pigeon sub fossil remain show todo one meter dull may weigh ten point six seventeen point five kilogram alm wild todo appearance life evidence drawing painting write account seventeenth century since portrait vary considerably since illustration know draw live specimen todo exact appearance life maine unresolve little know behavior depict brownish grey plumage yellow foot cuft tail feather grey naked head black yellow green beak use wizard stone help digest food think include fruit main habitat believe wood dryer coastal area mauritius one account state clutch consist single egg presume todo become flightless ready availability abundant food source relative absence predator riche extinction todo within less century discovery call attention previously unrecognized problem human involvement disappearance entire specie addition fall fruit todo probably submit nuts seed bulb root also suggest dough do may eaten crabs shellfish like relative crown pigeon,0.06,0.061,0.879,-0.2732
9,dolphin,dolphin small toothed cetacean easily recognizable curved mouth give permanent smile thirty six dolphin specie find every ocean dolphin marine live ocean brackish water along coastline specie however lie south asian river dolphin amazon river dolphin both live freshwater stream river large dolphin orca grow thirty foot long small mai dolphin five foot long dolphin feed chiefly fish squid track use echo location build sonar bounce sound wave prey reveal information like location size shape echolocating bottle nose dolphin make thousand click noise per second living pods number dozen dolphin intensely social mammal communicate speak whistle click whether dolphin language human topic scientist debate decade mammal warm blood nurse young dolphin one mate generous lee produce single offspring stay mother six year depend specie dolphin graceful sleek swimmer reach speed eighteen mile hour also playful often erotic boat wake leaping water possibly fun communicate eight even shed desk parasite centurie people hunt dolphin meat rubber today main threat come catch accidentally commercial fishing net dolphin must rise regularly surface breathe become entangle net prevent lead drown ing main dolphin warm ocean temperature climate change cause primary food source move deep cool water furthermore marine heat wave also cause climate change appear negative effect dolphin reproductive rate ability survive addition hunting entanglement fishing gear freshwater dolphin face additional threat dam fragment degrade habitat,0.132,0.077,0.791,0.7906
10,elephant,elephant large land mammal earth distinctly massive body large ear long drink use trunk pick object trumpet warning greet relevance suck water drinking bathing among use male female african elephant grow task individual either leave right task one use usually small wear tear elephant task serve many purpose extend tooth use protect elephant strung lift move object gather food strip bark tree also use defense time drought elephant even use task dig hole find water underground genetically different african specie exist savanna elephant forest elephant number characteristic differentiate african savannah elephant large elephant specie asian forest elephant african forest elephant comparable small size asian elephant differ several way african relative ten distinct physical difference example asian elephant ear small compare large fan shape tear african specie male asian elephant task male female african elephant grow task lead matriarch elephant organize complex social structure female calf may love tend live isolation small bachelor group single calf bear female every four five year gestation period twenty two month long mammal cat care entire herd relate female female cat may stay maternal herd rest live male leave hear reach puberty forest elephant social group differ slightly may comprise adult female offspring however may congregate large group forest clearing resource abundant elephant need ext offensive land area survive meet ecological need include food water space average elephant feed eighteen hour consume hundred pound plant matter single day result lose habitat often come conflict people competition resource,0.081,0.07,0.849,0.2263
11,fd_mutual_finance,bank fix deposit government small saving scheme traditional investment choice average indian household present bank india quarterly estimate household financial asset liability rupee four thousand seven hundred fifty three b lion invest bank tea year two thousand eighteen late year datum available rbi hand despite grow popularity share major fund house fix income asset still relatively quite small per afi day february two thousand twenty retail hi net investment debt mutual fund last one year end sept two thousand twenty obese two hundred sixty billion sap mutual fund sap debt mutual fund work invest fix math every month under regular saving invest long period time benefit power compound power compound not work equity also work fix income long investment invest fix amount regular interval monthly invest various price point average purchase cost know cost averaging since fix income fund market link scheme price also subject volatility two sap take advantage fertility even fix income phone especially long duration sensitive interest rate fix income outperform even long term extreme market condition often challenge popularly hold view one view equity ow perform always long term large liquor start today show equity best perform asset class long term however promotional singing constitute long term challenge chart show annual lead terrorize average equity fix income category last three five ten year see insurance market condition fix income phone equity even fairly long ten year investor education initiative mira asset mutual fund ratio editor case degree not way depict performance individual scheme fund major fund investment subject market risk read scheme military document carefully,0.112,0.061,0.827,0.9128
12,finance,grief list green financial professional compatibility finance often responsibility leave accounting department employee tend pay corporate finance accounting issue mind ignore finance however put behind competition come well verse complex aspect work business maria profession position within organization idea beer market cpm stand time lose fear finance begin embrace money matter head start journey financial fluency learn basic financial term concept network easy one start may hear one time day today financial expert discuss company network two magazine discuss certain celebrity value dollar business context network simply mean difference total asset total amount owe creditor financial stakeholder positive net worth indicate good financial health whilst negative net worth mean company operate loss without go much nifty greedy corporate finance fund want inflation mean sustain increase price good service certain period relation value national currency one inflation indicator work professional look income rise proportionally initial rate inflation mood organization operate global scale inflation impact price point sell oxide company country border liquidity determine decade accessible asset monetary value asset regenerative work sell today corporate usually need balanced liquidity since creditor demand money time speed business generate cash significant impact financial well,0.207,0.123,0.669,0.9483
13,jeffrey_archer,jeffrey howard archer baron archer weston super mare bear april fifteenth nineteen forty english novelist life peer former politician become author archive member parliament nineteen sixty nine nineteen seventy four not seek reelection finance oil scandal leave almost bankrupt revive fortune bestselle novelist book sell three hundred twenty million copy worldwide archer write first book not penny not penny less autumn nineteen seventy four mean avoid bankruptcy bug pick literary agent zebra publish first -PRON- eventually britain autumn nineteen seventy six radio adaptation air bbc radio four early nineteen eighty bbc television adaptation book broadcast nineteen ninety cain abel nineteen seventy nine prove good selling work reach number one new york times bestseller list like early work edit richard cole olympic fence gold medalist make television miniserie cbs nineteen eighty five five star peter stress sam neil following year granada tv screen baton part adaptation another archer bestseller first among equal tell story four man quest become prime minister us edition novel character andrew fraser eliminate reduce number protagonist three well novel short story archer also write three stage play first beyond reasonable doubt open nineteen eighty seven run queens theatre london west end year twenty eight archer next play exclusive not well receive critic close week final play accuse open theatre royal windsor september twenty six two thousand transfer theatre royal haymarket west hand december nineteen eighty eight kathleen barnett accuse archer play arise story write include short story collection twist tale archer deny plagiarize story claim simply inspire idea sword long tall illustrate collection archer short story publish november two thousand twenty watercolor illustration artist paul cox,0.136,0.074,0.789,0.9424
14,mammoth,mammoth member extinct group elephant mammoth hairy elephant genus mammoth mammal live europe four thousand five hundred year ago adapt cold climate kill hunter climate change series ice age allow math myth spread across land various specie mammoth commonly equip long curve task northern specie cover long hair old representative mammoth -PRON- south african mammoth amazon planet front appear around five million year ago early pliocene southern eastern africa descendant species mammoth move north continue propagate numerous subsequent specie eventually cover eurasia extend america least six hundred thousand year ago last specie emerge woolly mammoth emperor image nes develop four hundred thousand year ago east asia mammoth hunt early human use spear cut hand axis freeze flesh analyze dna sequence like modern relative mammoth quite large large know specie reach height region four meter thirteen point one foot shoulder weight eight ton eight point eight short ton exceptionally large male may exceed twelve ton thirteen point two short ton however ce specie mammoth large modern asian elephant two point five meter three meter high shoulder rarely exceed five ton sex bore task base study close relative modern elephant mammoth probably gestation period twenty two month result single calf bear social structure probably african asian elephant female live herd head matriarch whilst bowl live solitary life form loose group since many remain specie man mammoth know several locality possible reconstruct evolutionary history genus logical study mammoth specie identify number enamel ridges molar primitive species ridge amount increase gradually new specie evolve replace former one time crown tooth become long skull become high top bottom short back front time accommodate woolly mammoth emperor image ne last specie genus population woolly mammoth north america eurasia well columbia mammoth colombia north america die around time last glacial retreat part mass extinction megafauna northern eurasia americas,0.07,0.047,0.883,0.1531
15,murakami,hari murakami bear january twelfth nineteen forty nine japanese writer novel essay short story bestsellers japan well internationally work translate fifty language sell million copy outside japan receive numerous award work include guns prize new writers world fantasy award frank connor international short story award franz aka prize jerusalem prize many novel theme title evoke classical music three book make wind bird chronicle think magpie racing opera bird prophet piano piece robert schumann usually know english prophet bird bird catcher character mort opera magic flute novel take title song dance dance dance dell nine nineteen fifty seven besides song although often think title beach boy nineteen sixty four tune norwegian wood beatles song south border west sun song south border two thousand six murakami become sixth recipient front com cut prize april two thousand fifteen murakami name one time one hundred influential people november two thousand sixteen award danish hans christian anderson literature award award previously british author jk bowl two thousand eighteen see university tokyo agree house archive come iraq army include manuscripts source document music collection collection intend open scholar set open october two thousand twenty one,0.226,0.009,0.765,0.9929
16,mutual_funds,name metro safe microphones markedly instrument invest equity cookie relate security money related market instrument net asset value anyway mutual fund scheme depend market price underlie security pull base security go depend market movement hence see disclaimer mutual fund subject market risk friendly picture deceive investor invest traditional fix income investment like bank fix deposit post small saving scheme etc often two version invest first mutual fund much return get safe inverse metro phone important investor understand follow mature not give short return even mutual fund scheme pay regular dividend dividend pay major fund not assure asset management company aim che change dividend degrade even stop detain period time deemed fit mt base market condition guarantee capital production major phone prepare take risk invest mutual fund understand risk make informed investment decision base risk appetite financial objective mutual fund provide investment solution wide spectrum risk appetite investment neat article try understand risk mutual fund invest discuss much unsafe risk agree fund three kind risk equity mutual fund follow market risk also know systematic year risk affect entire stock market cause event may affect entire economy investment cycle common policy ra action global event example overnight bundaberg global financial crisis nine eleven terrorist attack new york etc mortgages cause volatility mutual fund investment category mutual fund mid cap fund small cap fund affect market volatility compare category large gap invest accord risk appetite without think safe mutual fund asymmetric risk risk impact particular stock sector major fund aim diversify systematic risk may still systematic risk actively manage fund fund manager may overweight underweight stock sector thus order beat market benchmark index great advice investor want avoid systematic risk may invest idiot index fund jack market indexes data subject market risk however investor understand systematic risk not necessary really matter help fund manager give superior return sufficiently long investment horizon great advice investor invest accord risk appetite investment need without worry safe invest mutual fund not liquidity risk arise due inability fund manager sell underlie security scheme need arise redemption pressure not sufficient buyer due prevail market condition example high volatility beer market etc foreign manager may unable sell securities extreme market condition mc may stop redemption certain mutual fund scheme liquidity risk equity fund back market segment example small cap fund compare liquid segment example large gap,0.151,0.192,0.657,-0.896
17,paulo_coelho,paulo cello bear august twenty fourth nineteen forty seven rio de janeiro brazil brazilian novelist know employ rich symbolism depiction often spiritually motivate journey take character novel alchemist sell one hundred fifty million copy worldwide time good sell book brazilian writer nineteen eighty two cello publish first book pal archive fail make substantial impact nineteen eighty six contribute practical manual vampire although later try take shelf since consider bad quality making pilgrimage santiago de compostela nineteen eighty six cello write pilgrimage publish nineteen eighty seven try overcome procrastination launch write career cello decide see white feather today sign god give write new book see one window shop begin write day fourteen follow year cello write alchemist publish small brazilian publishing house make initial print run nine hundred copy decide not reprint dod subsequently find big publishing house publication next bog breeder outcomes take harper collin decide publish book nineteen ninety four later become international bestseller two thousand nine interview syrian forward magazine cello state sui tradition unemploye particularly write alchemist later since publication alchemist cello generally write least one novel every two year four pilgrimage hobby valkyrie aleph autobiographical majority rest broadly fictional,0.084,0.034,0.882,0.8225
18,penguin,penguin group aquatic flightless bird live almost exclusively southern hemisphere highly adapt life water penguin counter shaded dark white plumage clipper swim penguin feed kill fish squid form sea life catch swimming underwater spend roughly half live land half sea although almost penguin specie native southern hemisphere not find area cold climate antarctica fact specie penguin live far south south several specie find temperate zone one species galapagos penguin live near equator large live specie emperor penguin average adult one point one meter three foot seven tall weigh thirty five kilogram me seventy seven pound small penguin specie little blue penguin also know fairy penguin stand around thirty three centimeter tall weigh one kilogram general today large penguin inhabit cold region small penguin inhabit region temperate tropical climate prehistoric penguin specie enormous tall heavy adult human great diversity specie subantarctic region least one giant specie region around two thousand kilometer south equator climate decidedly warm today though bird penguin clipper instead wing can not fly land saddle walk upright though snow condition right slide bellied water expert swimmer diver specie reach speed fifteen mile per hour penguin distinctive colour black body white belly help camouflage bird water search meal small shrimp fish crabs squid evolutionary history penguin well research represent showcase evolutionary bio geography although penguin bone one specie much size good specimen know alpha taxonomy many prehistoric form still leave much desire seminal article penguin pre history publish since two thousand evolution live genera consider resolve,0.077,0.022,0.9,0.9099
19,animal_farm,animal farm satirical allegorical novella george orwell first publish england august seventeenth nineteen forty five book tell story group farm animal rebel human farmer hope create society animal equal free happy ultimately rebellion betray farm end state bad dictatorship pig name napoleon well write book november nineteen forty three february nineteen forty four united kingdom war time alliance soviet union nazi germany british intelligentsia hold steal high esteem phenomenon well hate manuscript initially reject number british american publisher include one orwell victor gollancz delay publication become great commercial success partly international relation transform war time alliance give way cold war preface nineteen forty seven ukrainian edition animal farm explain escape communist purge spain teach easily totalitarian propaganda control opinion enlighten people democratic country motivate door expose strongly condemn see stalinist corruption original socialist ideal homage catalunya sell poorly see arthur wrestler good sell darkness noon moscow trial well decide fiction good way describe totality organism immediately prior write book well quit bbc also upset book left propagandists ministry information put booklet include instruction quell ideological fears soviet union direction claim red terror pig mint nazi imagination preface well describe source idea set book farm see little boy perhaps ten year old drive huge cart horse along narrow path whip whenever try turn strike animal become aware strength power man exploit animal much way rich exploit proletariat,0.227,0.192,0.581,0.8689
20,shakespeare,william shakespeare english playwright poet actor widely regard great writer english language world great dramatist often call england national poet bard van simply bard extant work include collaboration consist thirty nine play one hundred fifty four sonnet three long narrative poem verse uncertain authorship play translate every major living language perform often playwright work continue study interpret publish sixteen nine sonnet last shakespeare non dramatic work print scholar not certain one hundred fifty four sonnet compose evidence suggest shakespeare write sonnet throughout career private readership shakespeare work make lasting impression later theatre literature particular expand dramatic potential characterization plot language genre romeo julie example romance not view worthy topic tragedy soliloquy use mainly convey information character event shakespeare use explore character mind two hundred eleven work heavily influence later poetry romantic poet attempt revive shakespeare verse drama though little success shakespeare influence novelist thomas hardy william faulkner charles wicket american novelist herman neville soliloquy owe much shakespeare captain aab mob dick classic tragic hero inspire king year shakespeare also inspire many painter include romantic pre raphaelite swiss romantic artist henry pusilla friend william blake even translate macbeth german,0.221,0.073,0.706,0.9867
21,snow_bunting,snow bunt medium sized full bodied songid small conical bill snow bunt several plumage always show white wing black wingtip black white tail breeding male sharp white black back breeding female whitish brown streak back dusky head non breeding male white rusty patch crown ear shoulder dark streak back non breeding female rusty wash face dark rusty patch breast breed male female dark pill turn yellowish orange non breeding season walk along barren place punch posture easily blend ground group take flight burst black white form large flock often horn park longspur non breeding season breed rocky tundra winter opa weed grassy field along shore lake ocean often concentrate shoreline debris pile along edge wave wind action pass orion ground dwelling specie walk run could potentially jump need fairly large long way pin bunting measure fifteen centimeter wingspan thirty two thirty eight centimeter thirteen fifteen wait thirty forty gram snow bunt northerly record pass world sometimes call snowflake flock snow bunting may seem like snowflake will air settle winter field south arctic strictly winter bird arrive late fall generally depart first sign spring summer retire bear northern tundra breed northernmost highlands canada mountain greenland high arctic community snow bunt nest birdhouse put,0.029,0,0.971,0.6124
22,super_nova,supernova big explosion human ever see blast extremely bright super powerful explosion star one type supernova cause last murray die massive star happen star least five time mass sun go fantastic bang ng massive star burn huge amount nuclear fuel core center produce ton energy summer get hot heat generate pressure pressure create star nuclear burning also keep star collapse star imbalance two opposite ver force star gravity try squeeze star small light ball possible nuclear fuel burn star core create strong outward pressure outward push resist inward squeeze gravity usually dense core leave behind along expand cloud od hot gas call nebula supernova star ten time size sun mail eve behind desert object universe black hole second type supernova happen system two star orbit one another least one star earth size white dwarf white dwarf leave star size sun run fuel nasa scientist use number different type telescope search study supernova one example new start nuclear spectroscopic telescope array mission use x ray vision investigate universe bad new star help scientist observe supernova young nebula learn happen lead spectacular blast,0.16,0.092,0.748,0.9278
23,vaccine_news,nineteen ground vaccine prize bayern clinical trial micro specific vaccine prize byron begin clever transfer armada specific vaccine press release prize announce initiation clinical study evaluate safety tolerability emotional generosity underground base vaccine candidate healthy adult eighteen fifty five year age accord information nee study three different examination evaluate evaluate fourteen twenty participant study part science base approach develop already base vaccine achieve similar level protection emigrant early higgin long duration protection say professor pagos hint ceo co founder ante three cohort examination cover number one participant already fascinate prize overnighting vaccine receive hundred coach underground base c code number two participant two vaccine after bookstore receive one american base vaccine cover number three non fascinated participant receive two dose american base base vaccine part ongoing effort address ground determine potential need beijing base vaccine read apart anti drug initiate study evaluate ground base nineteen vaccine adult eighteen fifty five micro variant contagious cover nineteen fee prize want address fast move pandemic specific vaccine study reveal vaccine offer good protection hospitalization severe illness death scientific evidence reveal booster shoot stand ins prediction improve chance bad eat great symptom current research real world shoe voucher continue provide high level protection severe disease hospitalization micro recognize need prepare event production mean overtime financially help address omega new advance future say senior vice president head vaccine research development prize catherine prize biotech quantify produce four billion dose coordinator vaccine two thousand twenty two case comic runway scene develop year company change reduce capacity production,0.206,0.073,0.721,0.9886
24,whale,whale widely distribute diverse group fully aquatic placental marine mammal whale large animal earth live every ocean massive mammal range six hundred pound dwarf sperm whale colossal blue whale weigh two hundred ton much thirty three elephant stretch one hundred foot long almost long professional basketball court whale warm blooded creature nurse young two type whale toothe be toothed whale name suggest tooth use hunt eat squid fish seal toothed whale include sperm whale well dolphin purpose orca among other marshal horn actually one long tooth protruding lip be whale large toothed whale part include blue whale humpback right whale coxhead whale other feed train tiny shrimp like creature call kill fringed plate long fingernail like material call be attach upper jaws whale particularly humpback produce otherworldly vocalization hear mile underwater song complex combination mean bowl cry continue hour produce whale push air around head amplify sound blob fat perch top jaw think whale communicate call researcher believe hear thousand mile though stark population decline hunt largely stop several whale specie threaten endanger include blue whale right whale fin whale combination fishing net entanglement strike ship,0.054,0.07,0.876,-0.6486
